geo_id	genes.detected	cell.type	donor	timepoint	donor.type	primer.mix	batch	plate	lineage	CD45RA	CD38	CD123	CD34	CD90	rnaseq	genotyping	genotypesall	qcgenotype	input.reads	unique.mapped	multimap	Total.sequences	Per.base.sequence.quality	GC.content	MReads	lib.size	unmapped	ercc.count	pc.uniquemapped	pc.multimap	pc.unmapped	pc.ingenes.total	pc.ercc	pc.mit.reads	pass.qc
AV12PL3_4D	4144	CD34+CD38-	HD7643	baseline	normal	AV12_mix	batch_1	AV12PL3	237	60	15	966	5256	794	TRUE	FALSE	WT	TRUE	1327034	812365	67755	1327034	pass	48	26270	556074	446914	9893	0.612165928	0.051057471	0.336776601	0.684512504	0.017790798	0.047241914	TRUE
AV12PL3_4E	4599	CD34+CD38-	HD7643	baseline	normal	AV12_mix	batch_1	AV12PL3	283	57	1	1057	5021	1590	TRUE	FALSE	WT	TRUE	1069798	438409	38495	1069798	pass	49	14383	317972	592894	2940	0.409805403	0.035983429	0.554211169	0.725286205	0.009246097	0.045233543	TRUE
AV12PL3_4F	4106	CD34+CD38-	HD7643	baseline	normal	AV12_mix	batch_1	AV12PL3	254	67	-8	756	3385	2972	TRUE	FALSE	WT	TRUE	1164271	869533	69608	1164271	pass	48	31788	619556	225130	8566	0.746847598	0.059786768	0.193365634	0.712515799	0.01382603	0.051307711	TRUE
AV12PL3_4G	4733	CD34+CD38-	HD7643	baseline	normal	AV12_mix	batch_1	AV12PL3	476	65	-69	848	5801	1621	TRUE	FALSE	WT	TRUE	1797897	1503874	124308	1797897	pass	49	63469	1112230	169715	13067	0.836462823	0.069140779	0.094396398	0.739576587	0.011748469	0.057064636	TRUE
AV12PL3_4H	4007	CD34+CD38-	HD7643	baseline	normal	AV12_mix	batch_1	AV12PL3	410	83	-13	685	3932	1496	TRUE	FALSE	WT	TRUE	3045900	2684906	221522	3045900	pass	46	125233	1850168	139472	22280	0.881481992	0.072727929	0.045790078	0.68909973	0.01204215	0.067687367	TRUE
CRKPL1_10C	2032	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL1	22	1078	515	2212	4298	4262	TRUE	TRUE	JAK2_HET	TRUE	2239411	1693191	142829	2239411	pass	49	108606	1273194	403391	16889	0.75608765	0.063779717	0.180132633	0.751949426	0.013265064	0.085302004	TRUE
CRKPL1_10D	3069	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL1	-129	407	272	273	5544	3182	TRUE	TRUE	JAK2_HET	TRUE	1445914	1192917	107307	1445914	pass	49	56695	881101	145690	7452	0.825026246	0.074213957	0.100759796	0.738610482	0.0084576	0.064345631	TRUE
CRKPL1_10F	2711	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL1	29	580	187	-86	3370	437	TRUE	TRUE	JAK2_HET	TRUE	1457028	1148819	94178	1457028	pass	48	42226	823413	214031	9813	0.788467346	0.064637056	0.146895598	0.716747373	0.01191747	0.051281678	TRUE
CRKPL1_11C	2669	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL1	-34	70	479	184	4006	653	TRUE	TRUE	JAK2_HET	TRUE	2476961	1932290	172048	2476961	pass	48	95998	1376320	372623	15674	0.780105137	0.069459309	0.150435554	0.712274038	0.01138834	0.069749767	TRUE
CRKPL1_11D	2814	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL1	-108	111	393	114	6498	546	TRUE	TRUE	JAK2_HET	TRUE	1886162	1292509	136879	1886162	pass	48	79727	973803	456774	12178	0.685258742	0.072570119	0.242171139	0.753420673	0.012505609	0.081871795	TRUE
CRKPL1_11E	2256	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL1	-30	152	34	856	4412	419	TRUE	TRUE	JAK2_WT	TRUE	1118333	749232	76822	1118333	pass	47	37252	522768	292279	8049	0.669954298	0.068693314	0.261352388	0.697738484	0.015396887	0.071259144	TRUE
CRKPL1_2C	3131	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL1	28	505	458	530	4831	200	TRUE	TRUE	JAK2_HET	TRUE	3183646	2769992	265387	3183646	pass	47	208332	1906868	148267	19315	0.870069097	0.083359456	0.046571447	0.688401988	0.010129175	0.109253498	TRUE
CRKPL1_2E	2902	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL1	9	357	321	1096	4713	716	TRUE	TRUE	JAK2_WT	TRUE	2603253	2255763	193374	2603253	pass	48	122495	1676329	154116	19853	0.866517008	0.074281678	0.059201315	0.743131703	0.011843141	0.073073364	TRUE
CRKPL1_2F	3175	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL1	104	420	494	1074	5485	889	TRUE	TRUE	JAK2_HET	TRUE	1533495	1322017	114908	1533495	pass	47	98877	901741	96570	10991	0.862094105	0.0749321	0.062973795	0.68209486	0.012188644	0.109651219	TRUE
CRKPL1_3C	2700	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL1	-23	521	577	1025	6339	10644	TRUE	TRUE	JAK2_HET	TRUE	2236302	1881095	171161	2236302	pass	47	134139	1306188	184046	17946	0.841163224	0.076537516	0.08229926	0.694376414	0.013739217	0.102695018	TRUE
CRKPL1_3D	3297	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL1	-39	346	428	336	4726	262	TRUE	TRUE	JAK2_WT	TRUE	4277548	3620546	388225	4277548	pass	48	229064	2677567	268777	31670	0.846406867	0.090758771	0.062834362	0.739547847	0.011827902	0.085549307	TRUE
CRKPL1_3E	3154	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL1	-106	735	169	440	6052	1518	TRUE	TRUE	JAK2_HET	TRUE	2621478	2288584	192984	2621478	pass	48	115179	1639769	139910	20281	0.873012858	0.073616487	0.053370656	0.716499373	0.012368206	0.070240991	TRUE
CRKPL1_3F	3392	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL1	27	1058	622	768	2964	1709	TRUE	TRUE	JAK2_HET	TRUE	3239060	2800188	248897	3239060	pass	47	193640	2024857	189975	24633	0.864506369	0.076842355	0.058651275	0.723114662	0.012165304	0.095631445	TRUE
CRKPL1_4C	2189	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL1	-110	277	327	612	4763	250	TRUE	TRUE	JAK2_WT	TRUE	1089364	933071	79189	1089364	pass	48	42711	688653	77104	10277	0.856528213	0.072692874	0.070778913	0.738049945	0.014923336	0.062021076	TRUE
CRKPL1_4D	2549	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL1	-78	704	-197	194	5185	528	TRUE	TRUE	JAK2_HET	TRUE	3555123	3035223	271082	3555123	pass	47	162609	2138006	248818	34525	0.853760334	0.076251089	0.069988577	0.704398326	0.016148224	0.076056382	TRUE
CRKPL1_4E	2477	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL1	-109	276	384	340	5286	150	TRUE	TRUE	JAK2_WT	TRUE	3530221	3038761	306745	3530221	pass	47	163265	2206358	184715	59189	0.86078492	0.086891161	0.05232392	0.72607158	0.026826562	0.073997511	TRUE
CRKPL1_4F	2756	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL1	-83	1664	655	200	4575	875	TRUE	TRUE	JAK2_HET	TRUE	2422451	1952926	232322	2422451	pass	46	162848	1370349	237203	38938	0.80617771	0.095903694	0.097918596	0.701690182	0.028414659	0.11883688	TRUE
CRKPL1_5D	2636	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL1	-85	641	682	198	5188	69	TRUE	TRUE	JAK2_HET	TRUE	2024718	1744355	163758	2024718	pass	48	120682	1239769	116605	15303	0.861529853	0.080879411	0.057590736	0.710732047	0.012343428	0.097342327	TRUE
CRKPL1_5E	3027	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL1	-74	417	276	527	4935	301	TRUE	TRUE	JAK2_HET	TRUE	2207074	1914283	182278	2207074	pass	48	129799	1380523	110513	14806	0.867339745	0.082588078	0.050072177	0.721169754	0.010724921	0.094021614	TRUE
CRKPL1_5F	1940	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL1	116	16608	275	2036	2745	391	TRUE	TRUE	JAK2_WT	TRUE	2991151	2482308	204466	2991151	pass	48	112254	1692736	304377	37331	0.829883881	0.068356964	0.101759156	0.681920213	0.022053646	0.066315125	TRUE
CRKPL1_8C	2516	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL1	25	899	195	657	2937	1887	TRUE	TRUE	JAK2_HET	TRUE	1939851	1598411	153287	1939851	pass	47	93793	1190159	188153	16606	0.823986481	0.079019987	0.096993532	0.744588845	0.013952758	0.078807117	TRUE
CRKPL1_8F	3485	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL1	-70	146	504	1067	5267	191	TRUE	TRUE	JAK2_HET	TRUE	770661	676898	57286	770661	pass	48	36725	510130	36477	3421	0.878334313	0.074333592	0.047332095	0.753629055	0.006706134	0.071991453	TRUE
CRKPL1_9C	2951	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL1	-95	723	372	1327	4241	940	TRUE	TRUE	JAK2_WT	TRUE	1835670	1531843	133947	1835670	pass	47	82442	1140237	169880	14127	0.834487135	0.072968998	0.092543867	0.744356308	0.01238953	0.072302513	TRUE
CRKPL1_9D	3264	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL1	-157	1695	620	2503	7103	265	TRUE	TRUE	JAK2_WT	TRUE	836775	697818	64556	836775	pass	46	35895	518362	74401	4855	0.833937438	0.077148576	0.088913985	0.742832658	0.009366041	0.069246974	TRUE
CRKPL1_9E	2385	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL1	-96	363	629	198	3801	97	TRUE	TRUE	JAK2_WT	TRUE	1876405	1481346	151399	1876405	pass	47	77755	1088473	243660	16009	0.789459632	0.080685673	0.129854696	0.734786471	0.01470776	0.071434937	TRUE
CRKPL2_10A	2596	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL2	-27	426	-158	-135	4181	1755	TRUE	TRUE	JAK2_HET	TRUE	2307369	2000184	167188	2307369	pass	47	80689	1375249	139997	20374	0.866867848	0.072458285	0.060673867	0.687561244	0.014814772	0.058672284	TRUE
CRKPL2_10C	2653	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL2	50	16795	588	1476	4234	226	TRUE	TRUE	JAK2_WT	TRUE	2741921	2278620	212208	2741921	pass	45	139157	1407065	251093	22676	0.831030507	0.077393915	0.091575578	0.617507526	0.016115816	0.098898772	TRUE
CRKPL2_10D	3340	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL2	-30	615	435	503	4917	1228	TRUE	TRUE	JAK2_HET	TRUE	1750510	1480266	147546	1750510	pass	47	81938	1071434	122698	7257	0.845619848	0.084287436	0.070092716	0.723811801	0.006773166	0.076475079	TRUE
CRKPL2_10E	3413	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL2	-71	347	30	486	6235	2211	TRUE	TRUE	JAK2_HET	TRUE	2332366	1997074	184629	2332366	pass	46	130113	1369408	150663	12372	0.856243831	0.079159532	0.064596637	0.68570719	0.009034561	0.09501405	TRUE
CRKPL2_10F	3636	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL2	-29	203	265	773	3742	427	TRUE	TRUE	JAK2_HET	TRUE	2310955	2040017	179878	2310955	pass	47	136211	1455626	91060	15026	0.882759292	0.077837085	0.039403623	0.713536211	0.010322707	0.093575548	TRUE
CRKPL2_10G	3133	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL2	92	1595	257	1313	2809	1074	TRUE	TRUE	JAK2_HET	TRUE	2447112	2147930	195266	2447112	pass	47	125497	1493315	103916	21254	0.877740782	0.079794468	0.04246475	0.695234482	0.014232764	0.084039201	TRUE
CRKPL2_10H	3854	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL2	7	1922	579	1228	4195	714	TRUE	TRUE	JAK2_HET	TRUE	1420817	1267926	109188	1420817	pass	48	62567	933623	43703	9811	0.892392194	0.076848743	0.030759063	0.736338714	0.010508524	0.067015273	TRUE
CRKPL2_12A	2828	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL2	-170	344	127	895	6526	503	TRUE	TRUE	JAK2_HET	TRUE	2920193	2211196	240628	2920193	pass	46	139472	1560670	468369	29256	0.757208856	0.082401403	0.160389741	0.705803556	0.018745795	0.089366746	TRUE
CRKPL2_12C	2692	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL2	-196	-54	504	637	4701	863	TRUE	TRUE	JAK2_WT	TRUE	2772911	2148175	242318	2772911	pass	46	173143	1495248	382418	28672	0.774700306	0.087387587	0.137912108	0.696055023	0.019175414	0.115795507	TRUE
CRKPL2_1A	2755	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL2	-75	264	491	1016	6492	511	TRUE	TRUE	JAK2_HET	TRUE	2318490	1874978	172020	2318490	pass	46	96913	1212215	271492	21103	0.808706529	0.074194842	0.117098629	0.646522253	0.017408628	0.079947039	TRUE
CRKPL2_1B	3242	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL2	4	2111	16	-108	4732	650	TRUE	TRUE	JAK2_HET	TRUE	2471710	2058680	202617	2471710	pass	47	120315	1457904	210413	17726	0.832897063	0.081974423	0.085128514	0.70817417	0.012158551	0.08252601	TRUE
CRKPL2_1C	2467	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL2	-161	428	537	340	6956	322	TRUE	TRUE	JAK2_HET	TRUE	1728849	1312975	140823	1728849	pass	46	75262	898054	275051	10096	0.759450363	0.081454771	0.159094866	0.683984082	0.011242086	0.083805651	TRUE
CRKPL2_1D	2807	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL2	2	611	269	912	2813	921	TRUE	TRUE	JAK2_HET	TRUE	1650868	1312191	135716	1650868	pass	47	81371	853964	202961	7151	0.794849134	0.082208874	0.122941992	0.650792453	0.008373889	0.095286218	TRUE
CRKPL2_1E	2244	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL2	-57	1712	189	726	4869	165	TRUE	TRUE	JAK2_HET	TRUE	1637906	1221370	139276	1637906	pass	45	87545	860078	277260	15341	0.745689924	0.085032963	0.169277114	0.704191195	0.017836754	0.10178728	TRUE
CRKPL2_1F	2414	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL2	-30	18	528	360	3349	239	TRUE	TRUE	JAK2_HET	TRUE	2262898	1806104	183057	2262898	pass	46	101850	1209594	273737	13942	0.798137609	0.080894941	0.12096745	0.669725553	0.011526182	0.084201807	TRUE
CRKPL2_1G	3338	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL2	40	388	439	1765	4040	2918	TRUE	TRUE	JAK2_HOM	TRUE	2209557	1935944	168103	2209557	pass	48	105788	1500316	105510	12963	0.87616839	0.076079956	0.047751653	0.774979028	0.00864018	0.070510479	TRUE
CRKPL2_1H	3212	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL2	30	439	-165	560	5672	6369	TRUE	TRUE	JAK2_HET	TRUE	2617017	2308565	193766	2617017	pass	48	112625	1514847	114686	22160	0.882136035	0.074040788	0.043823177	0.656185552	0.01462854	0.074347442	TRUE
CRKPL2_2A	3252	CD34+CD38-	OX4739	baseline	patient	JAK2_mix	batch_2	CRKPL2	74	41	582	459	12719	12500	TRUE	TRUE	JAK2_HOM	TRUE	1472989	1136792	118275	1472989	pass	45	55365	765639	217922	11566	0.771758649	0.080295915	0.147945436	0.673508434	0.015106336	0.072312147	TRUE
CRKPL2_2B	3805	CD34+CD38-	OX4739	baseline	patient	JAK2_mix	batch_2	CRKPL2	95	4655	293	2082	7036	233	TRUE	TRUE	JAK2_HOM	TRUE	1742553	1489080	140543	1742553	pass	47	78242	1141142	112930	9687	0.854539288	0.080653501	0.064807211	0.766340291	0.008488865	0.068564648	TRUE
CRKPL2_2D	3161	CD34+CD38-	OX4739	baseline	patient	JAK2_mix	batch_2	CRKPL2	127	491	-121	410	5049	1879	TRUE	TRUE	JAK2_HOM	TRUE	1358807	1129761	106181	1358807	pass	47	55264	827987	122865	6884	0.831435958	0.078142812	0.09042123	0.732886867	0.00831414	0.066745009	TRUE
CRKPL2_2E	3339	CD34+CD38-	OX4739	baseline	patient	JAK2_mix	batch_2	CRKPL2	88	12367	269	518	6807	177	TRUE	TRUE	JAK2_HOM	TRUE	1580309	1368869	123391	1580309	pass	46	72972	1005459	88049	7172	0.866203382	0.078080299	0.055716319	0.734518058	0.007133061	0.072575809	TRUE
CRKPL2_2F	4509	CD34+CD38-	OX4739	baseline	patient	JAK2_mix	batch_2	CRKPL2	107	1496	635	1668	5972	1969	TRUE	TRUE	JAK2_HOM	TRUE	2065039	1848186	146550	2065039	pass	48	93075	1456080	70303	8376	0.894988424	0.070967183	0.034044393	0.787842782	0.005752431	0.063921625	TRUE
CRKPL2_2G	3107	CD34+CD38-	OX4739	baseline	patient	JAK2_mix	batch_2	CRKPL2	47	2218	422	1460	6202	1141	TRUE	TRUE	JAK2_HOM	TRUE	2391610	2134393	174994	2391610	pass	48	78575	1578364	82223	21982	0.892450274	0.073169957	0.034379769	0.739490806	0.013927079	0.04978256	TRUE
CRKPL2_2H	3532	CD34+CD38-	OX4739	baseline	patient	JAK2_mix	batch_2	CRKPL2	161	1567	613	589	6595	10684	TRUE	TRUE	JAK2_HOM	TRUE	1600586	1413327	114875	1600586	pass	47	48865	1050999	72384	16705	0.883005974	0.071770589	0.045223437	0.7436347	0.015894401	0.04649386	TRUE
CRKPL2_3A	2514	CD34+CD38-	OX4739	baseline	patient	JAK2_mix	batch_2	CRKPL2	70	432	294	590	7920	2386	TRUE	TRUE	JAK2_HOM	TRUE	2058545	1773227	159139	2058545	pass	47	55119	1284459	126179	26592	0.861398221	0.077306544	0.061295235	0.724362419	0.02070288	0.04291223	TRUE
CRKPL2_3B	2862	CD34+CD38-	OX4739	baseline	patient	JAK2_mix	batch_2	CRKPL2	125	2249	348	2547	5637	1432	TRUE	TRUE	JAK2_HOM	TRUE	2550072	2199688	206028	2550072	pass	47	106484	1581208	144356	23926	0.862598389	0.080793013	0.056608598	0.718832853	0.015131469	0.067343449	TRUE
CRKPL2_3C	3479	CD34+CD38-	OX4739	baseline	patient	JAK2_mix	batch_2	CRKPL2	131	226	95	1595	6987	6419	TRUE	TRUE	JAK2_HOM	TRUE	2669087	2366559	213098	2669087	pass	48	106254	1836033	89430	22963	0.886654875	0.079839286	0.033505839	0.775823886	0.012506856	0.057871509	TRUE
CRKPL2_3D	2796	CD34+CD38-	OX4739	baseline	patient	JAK2_mix	batch_2	CRKPL2	229	989	504	925	8920	3098	TRUE	TRUE	JAK2_HOM	TRUE	2001717	1671646	180402	2001717	pass	46	97510	1203280	149669	17830	0.835106061	0.090123629	0.07477031	0.719817473	0.014817831	0.081036833	TRUE
CRKPL2_4A	2359	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL2	89	8494	-238	1345	2191	216	TRUE	TRUE	JAK2_WT	TRUE	805429	634735	63726	805429	pass	46	19730	444170	106968	10567	0.788070705	0.079120568	0.132808727	0.699772346	0.023790441	0.044419929	TRUE
CRKPL2_4B	2355	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL2	-56	688	126	1355	4169	167	TRUE	TRUE	JAK2_HET	TRUE	1682428	1352416	133652	1682428	pass	46	96986	859908	196360	15062	0.803847772	0.079439952	0.116712275	0.635830987	0.017515827	0.112786484	TRUE
CRKPL2_4C	3614	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL2	36	859	508	3297	5850	2438	TRUE	TRUE	JAK2_WT	TRUE	1852085	1593024	143474	1852085	pass	47	85594	1159183	115587	10035	0.86012467	0.077466207	0.062409123	0.727661981	0.008656959	0.073839937	TRUE
CRKPL2_4D	2596	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL2	17	431	242	759	3066	583	TRUE	TRUE	JAK2_HET	TRUE	1530058	1296465	121184	1530058	pass	47	61410	892278	112409	12999	0.847330624	0.079202226	0.07346715	0.688239173	0.01456833	0.068823842	TRUE
CRKPL2_4E	3182	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL2	-81	522	331	842	5545	965	TRUE	TRUE	JAK2_HET	TRUE	1385545	1215773	107514	1385545	pass	46	57910	861002	62258	5872	0.877469155	0.077596902	0.044933943	0.708193059	0.006819961	0.067258845	TRUE
CRKPL2_4F	2754	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL2	-55	680	390	640	4499	133	TRUE	TRUE	JAK2_HET	TRUE	2749169	2397894	204045	2749169	pass	46	122934	1610174	147230	25646	0.872225025	0.07422061	0.053554365	0.67149507	0.015927471	0.07634827	TRUE
CRKPL2_4G	3536	CD34+CD38-	IF0602	baseline	patient	JAK2_mix	batch_2	CRKPL2	29	76	661	575	4177	228	TRUE	TRUE	JAK2_WT	TRUE	1775629	1558669	150631	1775629	pass	46	100825	1083720	66329	14923	0.877812313	0.084832473	0.037355213	0.695285529	0.013770162	0.093036024	TRUE
